relation,source,target
r_cert,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_003d42bc1e5c29a2360747cbed0e65daed63a25f4264cad7a02c9bac8671d4c6,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_004cd28acfaa0882b3c9b257ed685f1e690852494e8a823ea4939bdd3fd8e51a,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_004fbaab550d8d0049831dbd99ba537283d9dd5dfd10d7258eb18ef134ac29f6,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_005c5874cc8a3fbe2f9ffb8a2f537bd0c46cb83b02b0dca02da69c71d4ca94e1,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_00e2e2417fe2f9d2d4540bae5f5acc2ec3933877259b9f1474b07735c4096c20,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_00e7c3fbe4a574fe3bb08134883cf02442e4c3b40c6864bbc2b8465318a68007,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_015af14702f8ce021a91e952ab880e3bff3f0f556719c91eed450d2eeaac9d27,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_01b985251bee860725a7b64ccfba143dd9cba32fff722fabf5aa76dd509c3e62,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_01e100d81d7ca957125611ea9750a73e4088013339b10af4826c625a3f8c0f91,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_0218dbf1948398ecf92c2d6f5483d7aa5fd4c7eb4a9725def2774fe1c6f62c17,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_022129a21b64141b005e0e94e5d5542bb2beeb492fd12aca4b7290f1206b7b82,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_0259515851b7fc2117b3219d66122a404b032fcec06260fbcdcfe8e3cbd0dd26,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_02d4e534869a90597072f2a373b7756236d336db10d097550504ee567e75399e,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_02ecf83282282da3919808ade1ac31e7538b7ad3f2e3dc2297cbfe9149143bfa,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_03c04b91c88cf677d6fab558c04cb5c5743546c0a5df47500289a6424dc879a8,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_03c13a7b91b85b952057b8a700e7a9a81d7b225294233446b5764a2215285514,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_03c5b152c9f7acc99602cc585146954c6e6443c81c3a981489f8390e48b2c5fb,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_04022dc8a6439004db731b3bee3915aec225da2f8061d8146a738c65fcb5d12b,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_0417571ebcb51a955b1544b408c1ad06f444c73683006bc374d4421009db0c56,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_04500de8e773c5666d1f8833df9319933c4da57cd498882a8f813916d4304e23,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
